id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0,13.406929,1.396708,8.951264,-6.391955,-0.907567,6.952439,15.412624,11.820768,7.576128,2.472988,-0.091282,-1.72924,-11.874246,4.516364,-5.192701,10.03972,7.840981,-10.456969,5.102771,-0.108721,-3.284186,-5.337557,1.4083,8.78825,2.744024,3.595109,7.673019,-1.326952,9.268499,0.584147
1,-15.119118,-6.659451,-3.97257,-6.783692,2.28861,-8.214613,-1.170056,-4.004517,-6.82091,3.470909,5.917166,2.193648,-2.47017,17.581024,1.519423,0.39661,-8.634157,-13.063833,-7.462571,0.042977,-9.234468,-0.150261,-5.890043,-8.587167,-3.621841,-8.061612,6.663962,5.897501,-6.503219,-2.536026
2,-2.344736,-9.145379,6.902479,8.605027,7.654483,-5.199578,10.779235,-1.3513,-11.478583,-12.198383,-1.612168,-5.130523,11.584535,7.427698,9.689091,4.131115,7.584855,6.399139,-10.618769,9.300875,1.24502,5.23459,4.306623,-6.161988,6.066403,-0.390138,3.271931,-3.529145,7.386854,-1.169257
3,7.357845,7.224143,7.794408,-5.304755,2.077003,4.312937,4.67446,5.25872,7.626586,-0.499311,-3.202102,-7.435274,-8.011229,-11.501838,-6.600651,15.885613,3.42886,-5.028624,0.929546,-6.343693,-1.544057,-4.316854,-3.344796,0.530144,10.119743,12.474359,0.073798,-2.361054,6.095032,-6.040535
4,6.915768,3.606743,-2.804147,1.889518,-3.185365,-1.995137,9.173883,3.600453,6.651459,-0.70014,3.301433,1.087096,-2.090747,-9.379484,-0.325645,-3.613251,-8.872969,11.519166,4.46332,5.054478,-3.524715,1.349833,12.310861,-4.455094,5.248671,11.334165,14.272927,-4.071215,13.147543,8.37309
5,7.639675,-2.199805,-0.183496,-1.854335,3.527801,-4.344848,-5.162618,-7.05949,-2.379612,-5.518805,-10.01859,-4.833985,6.603228,10.144648,-1.965046,7.304559,9.25276,-5.515928,5.340633,3.151787,8.83362,3.086808,12.71694,-8.08412,3.950626,8.256972,10.93616,-0.108046,0.961608,-15.0515
6,6.645347,0.236124,10.440367,5.089327,13.240435,-11.280205,1.041453,2.255552,-1.832223,-7.403233,-5.425657,-9.997564,3.004826,5.427018,15.840129,3.088187,0.356205,6.027411,-7.661279,3.14742,3.717063,11.789599,11.287835,-1.205181,5.842121,-2.325296,1.972795,-12.786746,10.906801,-5.512208
7,6.016714,-3.003084,6.74821,2.780855,4.330941,-12.50688,0.575658,-7.331911,-5.269147,-0.166007,-12.522688,-9.36366,5.526412,4.335133,10.208563,4.527397,3.995912,1.58435,-0.874562,1.110836,3.641822,-0.048545,1.221159,-10.739266,5.938371,5.853618,-1.025868,-2.583774,0.987125,-11.763411
8,1.545372,8.976691,7.485922,5.055611,1.642315,-6.34872,12.384904,6.792504,4.764052,5.030291,9.324704,4.440392,-4.297353,0.840003,-2.119252,-4.027299,-5.674023,2.288933,6.751489,2.385269,-2.260641,5.053565,13.27028,-3.519415,11.556337,8.846698,8.029321,5.837414,7.400442,-7.390042
9,-2.208388,-5.067824,6.520644,4.607026,8.707532,-10.600127,2.758172,-4.024976,-1.328797,-4.940391,-1.491639,-7.62389,11.720431,1.008736,10.325293,7.947612,11.326697,3.389244,-13.130743,1.980894,3.839871,9.577487,10.44172,-4.032356,5.01051,5.368861,10.029212,-8.607679,3.058698,-6.510176
10,5.700012,3.113398,7.64982,14.260101,0.564821,-7.047456,3.979627,1.139078,2.635648,6.350007,0.80349,8.555078,-5.134536,-6.673825,5.557234,-1.846517,-5.849294,-0.349525,1.675097,12.523709,-7.233396,3.845764,3.561568,-7.373849,2.833125,-0.141535,6.701198,-2.545952,6.676087,1.865688
11,7.71153,-1.723632,5.002899,0.202262,0.387277,-9.903869,3.007868,-7.854337,1.568272,-8.598169,-9.107744,-9.90216,4.870146,7.92468,2.045333,3.289952,5.940385,11.715199,-4.528144,5.331621,-0.828128,-3.296815,4.144479,-7.340598,3.781886,1.575793,0.535904,-1.820913,9.834888,-6.275704
12,2.032013,4.617021,-0.076044,4.365867,-6.603318,-4.863193,13.162161,-2.121313,7.226057,-1.418356,-0.797794,6.211256,-1.881907,-6.319556,1.844811,-9.212602,-6.241758,-1.201585,3.109596,2.244326,3.821343,12.590519,9.456944,-0.78785,11.848372,10.050145,1.863173,-2.891832,0.122361,1.490798
13,-1.441836,5.870891,2.220342,-4.195389,10.578266,5.336535,5.113719,9.489248,5.202504,9.122791,-6.211389,-8.93477,-2.079397,-5.381641,-3.625266,5.383235,5.777854,-2.269338,5.288191,-4.42754,-2.930097,-5.052023,12.081612,-2.966877,4.409616,7.965718,6.036407,-6.961133,-1.33996,-2.642199
14,2.655033,1.436317,6.555354,0.890884,1.180115,8.272251,8.660061,5.677378,7.917069,8.374617,-1.423527,-5.146373,-1.466432,-2.963804,3.127692,4.435506,6.058482,-17.060937,5.802152,0.806566,-7.622939,-0.352873,1.553414,2.679599,8.049277,7.294674,-1.929946,-3.640607,6.521496,1.075137
15,7.786803,2.485736,3.559969,4.858982,-9.178103,-2.543518,4.289386,7.584786,5.517988,5.400758,10.02821,-0.978063,0.083212,-8.014601,5.157878,-14.203197,-2.261487,3.758699,9.338957,2.138392,-12.503699,11.332458,8.655837,-9.467669,8.932584,0.278399,9.549483,-10.144488,4.385925,3.910855
16,7.943968,-0.082198,8.061152,-7.91883,6.240842,6.361113,4.656467,0.859057,-1.607193,5.742708,-0.139158,-3.024658,-4.359492,-4.329723,-7.318653,-3.652332,8.808861,-1.599759,0.261054,-2.463222,-1.863479,-3.383131,-0.714729,8.456423,5.52966,3.451258,7.100872,-0.410316,4.553264,4.990756
17,9.078515,0.346081,8.266405,-15.558783,2.040625,9.147339,4.77195,7.079573,2.354182,-1.918192,-3.679594,0.246346,1.289437,0.854249,-12.071618,-1.395781,5.842143,-4.082707,4.047569,-7.01698,-9.063432,-2.3008,4.044106,7.123675,5.132469,4.306944,8.140313,-0.890107,6.304899,0.721904
18,2.001379,-7.024284,6.863003,2.229437,0.690389,-1.634585,2.697296,-4.04141,-11.942805,-6.741266,-3.90128,-3.383912,4.771297,-4.333527,1.168453,-2.085292,7.009568,2.260149,-7.025853,8.444104,4.242757,3.601287,-2.934319,-5.154157,6.220911,3.613555,-0.128295,-3.628719,8.770758,-8.705348
19,13.431186,13.114861,6.221995,4.510837,-5.262573,-11.399867,4.697874,5.047059,2.293555,1.906321,4.837069,3.635532,-6.859123,0.721123,1.563785,-8.00171,-12.046468,3.999605,0.771701,-0.512235,-3.466649,-1.941283,7.321907,-4.753237,1.94256,2.799371,1.92085,1.165396,9.614526,-2.232571
20,4.651652,-7.39659,-0.24982,-0.785605,7.743833,-3.385977,8.706748,4.183902,4.467132,-10.272141,-7.385256,1.912002,7.331562,8.053113,10.331662,7.178551,6.465972,6.005599,-2.792549,6.405345,3.567082,0.811518,10.062463,-1.701756,9.827388,4.905096,5.898521,-6.740797,8.403766,-14.365531
21,2.380283,-6.416689,3.327101,-0.003233,10.163162,-7.210292,3.332809,-0.695952,-6.787019,8.900137,2.436048,2.534573,8.609606,4.106565,10.575405,-1.916765,-2.265384,-5.101009,-5.28359,-1.791296,5.557395,-6.743477,-5.708625,-4.170054,-9.689456,-4.863654,10.869613,5.879656,1.016401,10.762603
22,1.137562,-8.662614,17.803358,-1.909767,7.752913,-6.336241,11.552749,-5.803187,-1.275689,10.542472,3.73626,-6.978915,1.398675,8.729959,2.553216,-4.43902,-9.197984,5.649706,-2.020852,0.757103,-7.100165,-0.288279,-2.324954,-5.252952,-13.432362,-6.251569,11.064669,6.032083,-4.469921,7.97141
