id,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
1,0.0,0.0,2,2,2,1,2,1,0
2,0.0,0.0,2,4,1,9,3,1,0
3,0.0,0.0,2,3,2,2,4,1,0
4,0.0,0.0,2,3,3,1,4,1,1
5,0.0,0.0,2,2,2,1,3,1,0
6,0.0,0.4,2,2,4,3,3,1,0
7,0.0,0.0,2,1,2,1,5,1,1
10,0.0,0.0,2,1,1,3,3,1,0
14,0.0,0.0,2,3,2,3,3,1,0
15,0.0,0.0,2,1,1,9,3,1,0
16,0.0,0.0,2,1,1,4,3,1,0
17,0.0,0.0,2,1,1,1,4,1,1
18,0.0,0.0,2,2,2,1,3,1,0
19,0.0,0.0,2,2,4,4,4,1,0
20,0.0,1.0,2,2,2,5,1,1,1
21,0.0,0.0,2,3,3,1,3,1,0
22,0.0,0.0,2,3,2,1,5,1,0
24,0.0,0.0,2,2,2,4,1,1,1
25,0.0,0.0,2,1,1,9,3,1,0
26,0.0,0.0,2,2,2,1,3,1,0
28,0.0,0.2,2,2,6,1,3,1,0
29,54.17976426,0.4,2,3,2,1,1,1,0
30,0.0,0.0,2,1,1,6,3,1,0
31,0.0,0.0,2,1,2,6,6,1,1
32,0.0,0.0,2,2,2,1,1,1,0
34,0.0,0.0,2,2,2,1,1,1,0
36,0.0,0.0,2,3,2,1,4,1,1
37,0.0,0.8,2,2,2,8,4,1,0
38,0.0,0.6,2,2,2,1,3,1,0
39,0.0,0.0,2,2,5,1,6,1,0
40,0.0,0.0,2,2,2,8,4,1,0
41,0.0,0.6,2,1,1,3,2,1,0
42,0.0,0.0,2,1,1,4,4,1,0
43,0.0,0.4,2,3,2,2,3,1,0
45,0.0,0.2,2,2,5,1,4,1,0
46,0.0,0.0,2,1,1,1,2,1,0
47,0.0,0.2,2,3,2,1,3,1,0
49,0.0,0.6,2,2,2,3,2,1,0
50,0.0,0.0,2,1,1,3,4,1,1
51,0.0,0.2,2,3,2,1,3,1,0
52,0.0,1.0,2,2,4,4,2,1,1
54,0.0,0.4,2,3,3,1,4,1,0
58,0.0,0.4,2,2,6,6,3,1,0
59,0.0,0.6,2,2,4,2,1,1,0
60,0.0,0.4,2,1,1,3,3,1,0
61,0.0,0.0,2,1,1,1,3,1,0
62,38.30849268,0.0,2,1,1,3,2,1,0
